Govt Pub Number,Title,"Center/Office",X,Substance Abuse,Mental Health,Practitioner/Professional,General Public,,,,,,,,,
SMA16-5012,Understanding Attention-Deficit/Hyperactivity Disorder Young Adult: Get the Facts,CMHS,CIHS,,,,,,,,,,,,,
SMA17-5053-10,"Rx Pain Medications, Know the Options, Get the Facts: Safe Disposal of Prescription Medications",CSAP,n/a,X,,,X,,,,,,,,,
SMA17-5053-2,"Rx Pain Medications, Know the Options, Get the Facts: Dangerous Drug Interactions",CSAP,n/a,X,,,X,,,,,,,,,
SMA19-5094-FS,Pregnancy Planning for Women BeingTreated for Opioid Use Disorder ,CSAT,n/a,X,,,X,,,,,,,,,
SMA11-4656,TIP 53: Addressing Viral Hepatitis in People With Substance Use Disorders,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA11-4442VIETNAMESE,The Facts about Buprenorphine for Treatment of Opioid Addiction (Vietnamese Version),CSAT,Knowledge Application Program,X,,,X,,,,,,,,,
DFC2018,Grant Award Recipient Handbook 2017-2018,CSAP,n/a,X,X,X,,,,,,,,,,
SMA12-4732SPANISH,"Sugerencias para hablar con niños y jóvenes y ayudarlos a hacer frente después de un desástre o un evento traumático: una guía para padres, cuidadores y maestros",CMHS,Disaster,,X,X,X,,,,,,,,,
SMA11-4642,"Helping Children and Youth Who Have Experienced Traumatic Events (National Children's Mental Health Awareness Day - May 3, 2011)",CMHS,Systems of Care,,X,X,,,,,,,,,,
SMA16-4979,Guidance Document for Supporting Women in Co-ed Settings,CSAT,DSI,X,,X,,,,,,,,,,
PEP19-02-00-002,Mental and Substance Use Disorder Treatment for People With Physical and Cognitive Disabilities,CSAT,n/a,X,X,X,,,,,,,,,,
PEP12-EVALPAIMI,Evaluation of the Protection and Advocacy for Individuals With Mental Illness (PAIMI) Program: Phase III: Evaluation Report,CMHS,n/a,,X,X,,,,,,,,,,
SMA18-4359,After an Attempt: A Guide for Medical Providers in the Emergency Department Taking Care of Suicide Attempt Survivors,CMHS,Suicide Prevention,,X,X,,,,,,,,,,
SMA14-4854,Medicaid Coverage and Financing of Medications to Treat Alcohol and Opioid Use Disorders,IEA,n/a,X,,X,,,,,,,,,,
SMA13-4789,Quick Guide for Clinicians Based on TIP 51: Substance Abuse Treatment: Addressing the Specific Needs of Women,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA13-4797,"Behavioral Health, United States, 2012",CBHSQ,n/a,X,X,X,,,,,,,,,,
SMA15-4927,Behavioral Health Trends in the United States: Results from the 2014 National Survey on Drug Use and Health (NSDUH),CBHSQ,n/a,X,,X,,,,,,,,,,
NSDUH14-0904,"The NSDUH Report September 4, 2014: Substance Use and Mental Health Estimates from the 2013 National Survey on Drug Use and Health-Overview of Findings",CBHSQ,n/a,X,X,X,,,,,,,,,,
SMA17-5053-3,"Rx Pain Medications, Know the Options, Get the Facts: What Are the Risks of Opioid Pain Medications?",CSAP,n/a,X,,,X,,,,,,,,,
SMA16-4999,The Case for Behavioral Health Screening in HIV Care Settings,CMHS,CIHS,X,X,X,,,,,,,,,,
PEP14-FAITHFS,Everyone Can Play a Role in the Conversation about Mental Health,CMHS,n/a,,X,X,,,,,,,,,,
SMA12-4170,Motivation for Change  Based on TIP 35 (Spanish Version),CSAT,Knowledge Application Program,X,,,X,,,,,,,,,
SMA17-5018,"Spotlight: Building Resilient and Trauma-Informed Communities – Tarpon Springs, FL: A Community Journey Towards Resilience",OBHE,n/a,X,X,X,X,,,,,,,,,
SMA12-4726,"Supporting Infants, Toddlers and Families Impacted by Caregiver Mental Health Problems, Substance Abuse, and Trauma: A Community Action Guide",CMHS,n/a,X,X,X,,,,,,,,,,
SMA16-4937,Parity of Mental Health and Substance Use Benefits with Other Benefits: Using Your Employer-Sponsored Health Plan to Cover Services,IEA,n/a,X,X,,X,,,,,,,,,
SMA15-4416SPANISH,Promoting Emotional Health and Preventing Suicide: A Toolkit for Senior Centers (SPANISH),CMHS,Suicide Prevention,,X,X,,,,,,,,,,
SMA16-4953SPANISH,Learn the Eight Dimensions of Wellness (Spanish Version Poster),CMHS,Consumer Affairs,,X,X,X,,,,,,,,,
SMA14-4863,Results from the 2013 National Survey on Drug Use and Health: Summary of National Findings,CBHSQ,n/a,X,X,X,,,,,,,,,,
SMA19-5094-PO,Are You Taking Medicine for Opioid Use Disorder and Are Pregnant or Thinking about Having a Baby? ,CSAT,n/a,X,,,X,,,,,,,,,
SMA10-4574,Alcohol and Depression: Jorge's journey to a better life (Based on TIP 42) (Spanish Version),CSAT,Knowledge Application Program,X,X,,X,,,,,,,,,
SMA17-5032,"Advancing Best Practices in Behavioral Health for Asian American, Native Hawaiian, and Pacific Islander Boys and Men",OBHE,n/a,X,X,X,,,,,,,,,,
PEP14-LGBTACAENROLL,Affordable Care Act (ACA) Enrollment Assistance for LGBT Communities: A Resource for Behavioral Health Providers,IEA,n/a,X,X,X,,,,,,,,,,
SMA12-4175,"Substance Abuse Treatment Advisory, Vol 5, Issue 2: Prescription Medications: Misuse, Abuse, Dependence, and Addiction",CSAT,Knowledge Application Program,X,,X,,,,,,,,,,
SMA16-4442KHMER,The Facts about Buprenorphine for Treatment of Opioid Addiction (Cambodian/Khmer Version),CSAT,Knowledge Application Program,X,,,X,,,,,,,,,
SMA17-5053-13,"Rx Pain Medications, Know the Options, Get the Facts: Treating Overdose with Naloxone",CSAP,n/a,X,,X,X,,,,,,,,,
SMA16-5002,Understanding Obsessive Compulsive Disorder Young Adults: Get the Facts,CMHS,CIHS,,X,,X,,,,,,,,,
SMA08-4344,Assertive Community Treatment (ACT) Evidence-Based Practices (EBP) KIT,CMHS,EBP Kits,,X,X,,,,,,,,,,
SMA16-4957,Promoting Wellness: A Guide to Community Action,CMHS,Consumer Affairs,,C,X,X,,,,,,,,,
SMA13-4792,Quick Guide for Clinicians Based on TIP 54: Managing Chronic Pain in Adults With or in Recovery From Substance Use Disorders,CSAT,Knowledge Application Program,X,,X,,,,,,,,,,
SMA16-4996,Bullying Prevention in Indian Country,CMHS,n/a,,X,X,X,,,,,,,,,
PEP14-FAITHLTP,Information for Faith-Based and Community Leaders,CMHS,n/a,,X,X,X,,,,,,,,,
PEP12-NSSPROLE,2012 National Strategy for Suicide Prevention: How You Can Play a Role in Preventing Suicide,CMHS,Suicide Prevention,,X,X,,,,,,,,,,
SMA17-5015,"Spotlight: Building Resilient and Trauma-Informed Communities – Philadelphia, PA: Public Health Partnerships for Trauma Transformation",OBHE,n/a,X,X,X,X,,,,,,,,,
SMA18-5070LITREV,TIP 61: Behavioral Health Services for American Indians and Alaska Natives - Literature Review,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
PEP19-03-01-001,Talk. They Hear You. Student Assistance – A Guide for School Administrators,CSAP,Talk They Hear You,X,,X,,,,,,,,,,
SMA12-4682,Advisory: An Introduction to Extended-Release Injectable Naltrexone for the Treatment of People with Opioid Dependence,CSAT,Knowledge Application Program,X,,X,,,,,,,,,,
SMA13-4739,"One Voice, One Community: Building Strong and Effective Partnerships Among Community and Faith Organizations",CSAT,n/a,X,X,X,X,,,,,,,,,
SMA08-4138,Substance Abuse Treatment Advisory: OxyContin Prescription Drug Abuse--2008 Revision,CSAT,Knowledge Application Program,X,,X,,,,,,,,,,
SMA15-4906,Racial/Ethnic Differences in Mental Health Service Use among Adults,CBHSQ,n/a,,X,X,,,,,,,,,,
SMA17-5053-5,"Rx Pain Medications, Know the Options, Get the Facts: My Medications",CSAP,n/a,X,,,X,,,,,,,,,
SMA14-4893,How To Cope With Sheltering in Place,CMHS,Disaster,,X,X,X,,,,,,,,,
SMA08-4337,Self-Disclosure and Its Impact on Individuals Who Receive Mental Health Services,CMHS,Consumer Affairs,,X,X,,,,,,,,,,
SMA17-5053-7,"Rx Pain Medications, Know the Options, Get the Facts: Prescribing Opioids: Reduce the Risk",CSAP,n/a,X,,X,X,,,,,,,,,
SMA17-5053-6,"Rx Pain Medications, Know the Options, Get the Facts: Prescription Pain Medication Agreement",CSAP,n/a,X,,X,X,,,,,,,,,
SMA17-5053-11,"Rx Pain Medications, Know the Options, Get the Facts: Safe Storage of Prescription Medications",CSAP,n/a,X,,,X,,,,,,,,,
SMA16-4983,Approaches in Implementing the Mental Health Parity and Addiction Equity Act: Best Practices from the States,IEA,n/a,X,X,X,,,,,,,,,,
SMA12-4676B1,Talking to Your Kids About Prescription Drug Abuse: Not Worth the Risk,CSAT,OCA,X,,,X,,,,,,,,,
SMA13-4795,Results from the 2012 National Survey on Drug Use and Health (NSDUH): Summary of National Findings,CBHSQ,n/a,X,X,X,,,,,,,,,,
SMA17-5053-8,"Rx Pain Medications, Know the Options, Get the Facts: Prescription Drug Monitoring Programs (PDMPs)",CSAP,n/a,X,,X,,,,,,,,,,
SMA16-4992,Consumer Guide To Disclosure Rights: Making The Most Of Your Mental Health and Substance Use Disorder Benefits,IEA,n/a,X,X,,X,,,,,,,,,
PEP14-MAYORSRG,Mayors' Resource Guide on Behavioral Health Issues,CMHS,n/a,X,X,X,,,,,,,,,,
SMA17-5029,"Funding and Characteristics of Single State Agencies for Substance Abuse Services and State Mental Health Agencies, 2015",IEA,n/a,X,X,X,,,,,,,,,,
PEP19-01-01-001,Helping Older Adults After Disasters: A Guide to Providing Support,CMHS,n/a,,X,X,,,,,,,,,,
SMA12-4689,General Principles for the Use of Pharmacological Agents to Treat Individuals with Co-Occurring Mental and Substance Use Disorders,CSAT,DSCA,X,X,X,,,,,,,,,,
SMA11-4640,Recommendations for Reporting on Suicide,CMHS,Suicide Prevention,,X,X,X,,,,,,,,,
SMA17-5020,"Spotlight: Building Resilient and Trauma-Informed Communities – Walla Walla, WA: Mobilizing the Community for Resilience",OBHE,n/a,X,X,X,X,,,,,,,,,
Scotland,"Shared Decision-Making in Mental Health Care: Practice, Research, and Future Directions",CMHS,Consumer Affairs,,X,X,,,,,,,,,,
SMA12-4701,Treatment Episode Data Set (TEDS) 2000-2010 National Admissions to Substance Abuse Treatment Services,CBHSQ,n/a,X,,X,,,,,,,,,,
SMA08-4364,Supported Employment Evidence-Based Practices (EBP) KIT,CMHS,EBP Kits,,X,X,,,,,,,,,,
SMA16-4955SPANISH,SAMHSA's Wellness Initiative: Wellness Community Power Point Presentation (Spanish Version),CMHS,Consumer Affairs,,X,X,,,,,,,,,,
SMA17-5053-4,"Rx Pain Medications, Know the Options, Get the Facts: What to Do if Your Medication Isn't Working",CSAP,n/a,X,,,X,,,,,,,,,
SMA12-4670,In Brief: Behavioral Health Issues Among Afghanistan and Iraq U.S. War Veterans ,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA17-5053-9,"Rx Pain Medications, Know the Options, Get the Facts: Talking to Your Patients About Opioids",CSAP,n/a,X,,X,,,,,,,,,,
SMA17-5016,"Spotlight: Building Resilient and Trauma-Informed Communities – Kansas City, KS and MS: A Coalition in the Business of Compassion",OBHE,n/a,X,X,X,X,,,,,,,,,
PEP19-01-01-002,Tips for Survivors: Coping with Anger After a Disaster or Other Traumatic Event,CMHS,n/a,,X,X,X,,,,,,,,,
PEP17-ISMICC-RTC-ES,The Way Forward: Federal Action for a System That Works for All People Living With SMI and SED and Their Families and Caregivers – Executive Summary,CMHS,n/a,,X,X,,,,,,,,,,
SMA16-4985,The Substance Abuse and Mental Health Services Administration's (SAMHSA) Youth Engagement Guidance,OBHE,n/a,X,X,X,,,,,,,,,,
SMA12-4448,2010 Town Hall Meetings: Mobilizing Communities To Prevent and Reduce Underage Alcohol Use,CSAP,n/a,X,,X,,,,,,,,,,
KEN01-0093PUNJABI,Tips for Talking to Children and Youth After Traumatic Events: A Guide for Parents and Educators (Punjabi Version),CMHS,Disaster,,X,X,X,,,,,,,,,
SMA18-4365SPAN,After an Attempt: A Guide for Taking Care of Yourself After Your Treatment in the Emergency Department (Spanish),CMHS,Suicide Prevention,,X,X,,,,,,,,,,
SMA14-4821,Strategies for Behavioral Health Organizations to Promote New Health Insurance Opportunities in Latino and Hispanic Communities,IEA,n/a,X,X,X,,,,,,,,,,
SMA16-4957SPANISH,Promoting Wellness: A Guide to Community Action (Spanish Version),CMHS,Consumer Affairs,,X,X,,,,,,,,,,
SMA15-4584,"Talking with Your Adult Patients about Alcohol, Drug, and/or Mental Health Problems: A Discussion Guide for Primary Health Care Providers",CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA15-4908,"Analyses of MAX Claims: SAMHSA Fee-for-Service Spending Estimates, Medicare-Medicaid Enrollee Analysis, and Managed Care Summary",CMHS,n/a,X,X,X,,,,,,,,,,
SMA14-4819,Strategies for Behavioral Health Organizations to Promote New Health Insurance Opportunities In African American Communities,OBHE,n/a,X,X,X,,,,,,,,,,
SMA14-4838,2012 Town Hall Meetings to Prevent Underage Drinking: Moving Communities Beyond Awareness to Action,CSAP,n/a,X,,X,,,,,,,,,,
SMA19-5095,Behavioral Health Spending & Use Accounts 2006—2015,IEA,n/a,X,X,X,,,,,,,,,,
SMA13-4735,"Facilitating Cross-System Collaboration: A Primer on Child Welfare, Alcohol and Other Drug Services, and Courts",CSAT,DSI,X,X,X,,,,,,,,,,
SMA09-4409,Follow Directions:  How to Use Methadone Safely,CSAT,OCA,X,,,X,,,,,,,,,
SMA13-4804,Diagnoses and Health Care Utilization of Children Who Are in Foster Care and Covered by Medicaid,CMHS,n/a,X,X,X,,,,,,,,,,
NMH05-0209PUNJABI,Tips for Survivors of a Traumatic Event - Managing Your Stress (Punjabi Version),CMHS,Disaster,,X,X,X,,,,,,,,,
SMA14-4844,KAP Keys for Clinicians Based on TIP 51: Substance Abuse Treatment: Addressing the Specific Needs of Women,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA08-4324,Reimbursement of Mental Health Services in Primary Care Settings,CMHS,n/a,,X,X,,,,,,,,,,
SMA10-4615KOREAN,Anger Management for Substance Abuse and Mental Health Clients: A Cognitive Behavioral Therapy Manual (Korean Version),CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
SMA13-4786,Quick Guide for Administrators Based on TIP 50: Addressing Suicidal Thoughts and Behaviors in Substance Abuse Treatment,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
PEP19-01-01-003,Have You Experienced a Disaster? Poster pertaining to adult reactions,CMHS,n/a,,X,X,X,,,,,,,,,
SMA13-4775SPANISH,"Tips for Survivors of a Disaster or Traumatic Event: What to Expect in Your Personal, Family, Work, and Financial Life (Spanish Version)",CMHS,Disaster,,X,X,X,,,,,,,,,
SMA14-4865,The Next Step Toward a Better Life Based on TIP 45 (Korean),CSAT,Knowledge Application Program,X,,,X,,,,,,,,,
SMA16-4585KHMER,"Should You Talk to Someone About a Drug, Alcohol, or Mental Health Problem? (Cambodian/Khmer Version)",CSAT,Knowledge Application Program,X,,,X,,,,,,,,,
SMA16-4474KHMER,The Next Step Toward a Better Life Based on TIP 45 (Khmer/Cambodian Version),CSAT,Knowledge Application Program,,,,,,,,,,,,,
SMA14-4887,Results from the 2013 National Survey on Drug Use and Health: Mental Health Findings (NSDUH),CBHSQ,n/a,,X,X,,,,,,,,,,
SMA13-4776SPANISH,Tips for Survivors of a Disaster or Other Traumatic Event: Managing Stress (Spanish Version),CMHS,Disaster,,X,,X,,,,,,,,,
SMA10-4616KOREAN,Anger Management for Substance Abuse and Mental Health Clients: Participant Workbook (Korean Version),CSAT,Knowledge Application Program,X,X,X,X,,,,,,,,,
PEP15-CMHI2012-2013,The Comprehensive Community Mental Health Services for Children with Serious Emotional Disturbances: Evaluation Findings: Report to Congress 2012-2013,CMHS,n/a,,X,X,,,,,,,,,,
Square,Fiscal Year 2014 Annual SYNAR Reports: Tobacco Sales to Youth,CSAP,n/a,X,,X,,,,,,,,,,
SMA10-4542,Quick Guide for Counselors Based on TIP 49: Incorporating Alcohol Pharmacotherapies Into Medical Practice,CSAT,Knowledge Application Program,X,,X,,,,,,,,,,
SMA11-4636ADMIN,Advisory: Tobacco Use Cessation Policies in Substance Abuse Treatment: Administrative Issues,CSAT,Knowledge Application Program,X,,X,,,,,,,,,,
SMA14-4843,"State Mental Health Agency: Controlled Expenditures and Revenues for Mental Health Services, State Fiscal Year 2009",CMHS,n/a,,X,X,,,,,,,,,,
SMA12-4677B2,"Prescription Drugs: They Can Help But Also Hurt: Not Worth the Risk, Even if It's Legal",CSAT,OCA,X,,,X,,,,,,,,,
SMA18-5071FS1,Opioid Use Disorder and Pregnancy: Taking helpful steps for a healthy pregnancy,CSAT,DPT,X,,,X,,,,,,,,,
PEP19-01-01-004,Have You and Your Family Been Affected by a Disaster? Poster pertaining to youth and child reactions,CMHS,n/a,,X,,X,,,,,,,,,
SMA11-4442RUSSIAN,The Facts about Buprenorphine for Treatment of Opioid Addiction (Russian Version),CSAT,Knowledge Application Program,X,,X,X,,,,,,,,,
SMA11-4638,Minority Fellowship Program,CMHS,n/a,X,X,X,X,,,,,,,,,
SMA14-4894SPANISH,"Taking Care of Your Behavioral Health: Tips for Social Distancing, Quarantine, and Isolation During an Infectious Disease Outbreak (Spanish Version)",CMHS,n/a,,X,X,X,,,,,,,,,
SMA15-4910KOR,The Facts about Buprenorphine for Treatment of Opioid Addiction (Korean Version),CSAT,Knowledge Application Program,X,,X,X,,,,,,,,,
SMA18-5071FS3,Treating Babies Who Were Exposed to Opioids Before Birth: Support for a new beginning,CSAT,DPT,X,,,X,,,,,,,,,
PEP12-NSSPOVER,2012 National Strategy for Suicide Prevention: Goals and Objectives for Action-Overview,CMHS,Suicide Prevention,,X,X,,,,,,,,,,
SMA13-4805,Results from the 2012 National Survey on Drug Use and Health H-47: Mental Health Findings (NSDUH),CBHSQ,n/a,,X,X,,,,,,,,,,
SMA17-5019,"Spotlight: Building Resilient and Trauma-Informed Communities – San Francisco, CA: Aligning the Workforce to Create a Trauma-Informed System",OBHE,n/a,X,X,X,X,,,,,,,,,
SMA10-4544,KAP Keys for Clinicians Based on TIP 49: Incorporating Alcohol Pharmacotherapies Into Medical Practice,CSAT,Knowledge Application Program,X,,X,,,,,,,,,,
SMA14-4842,"What does the Research Tell us about Services for Children in Therapeutic/Treatment Foster Care with Behavioral Health Issues? Report of the SAMHSA, CMS and ACYF Technical Expert Panel, September 27-28, 2012",CMHS,n/a,,X,X,,,,,,,,,,
SMA14-4804,Transition to ICD-10: What it Entails and Why It's Important to Behavioral Health Providers,IEA,n/a,X,X,X,,,,,,,,,,
SMA12-4678B3,You're in Control: Using Prescription Medicine Responsibly: Not Worth the Risk (College Student Brochure),CSAT,OCA,X,,,X,,,,,,,,,
SYNAR-14,Fiscal Year 2013 Annual SYNAR Reports: Tobacco Sales to Youth,CSAP,n/a,X,,X,,,,,,,,,,
PEP16-CMHI2014,2014 Report to Congress for the Evaluation of the Comprehensive Community Mental Health Services for Children with Serious Emotional Disturbances,CMHS,n/a,,X,X,,,,,,,,,,
SMA12-4713,Results from the 2011 National Survey on Drug Use and Health (NSDUH): Summary of National Findings,CBHSQ,n/a,X,X,X,,,,,,,,,,
SMA13-4777SPANISH,Tips for College Students: After a Disaster or Other Trauma (Spanish Version),CMHS,Disaster,X,X,,X,,,,,,,,,
SMA12-4729,Treatment Episode Data Set (TEDS) 2000-2010: State Admissions to Substance Abuse Treatment (S-63),CBHSQ,n/a,X,,X,,,,,,,,,,
SMA18-5071FS2,Treating Opioid Use Disorder During Pregnancy: Getting the help and support you need from your healthcare professionals,CSAT,DPT,X,,,X,,,,,,,,,
SMA12-4730,National Survey of Substance Abuse Treatment Services (N-SSATS): 2011 (S-64): Data on Substance Abuse Treatment Facilities,CBHSQ,n/a,X,,X,,,,,,,,,,
SMA07-4298,Substance Abuse Prevention Dollars and Cents: A Cost-Benefit Analysis,CSAP,n/a,X,,X,,,,,,,,,,
SMA10-4132KHMER,Helping Yourself Heal: A Recovering Woman's Guide to Coping with the Effects of Childhood Abuse Issues-Khmer/Cambodian,CSAT,Knowledge Application Program,X,X,X,X,,,,,,,,,
SMA12-4725,Results from the 2011 National Survey on Drug Use and Health (NSDUH) H-45: Mental Health Findings,CBHSQ,n/a,,X,X,,,,,,,,,,
SMA14-4815RUS,The Next Step Toward a Better Life Based on TIP 45 (Russian),CSAT,Knowledge Application Program,X,,,X,,,,,,,,,
PEP15-HVCHIV-AIAN,Hepatitis C/HIV in Native American Populations,IEA,n/a,X,,X,,,,,,,,,,
SMA12-4678B3POSTER,You're in Control: Using Prescription Medicine Responsibly: Not Worth the Risk (Poster),CSAT,OCA,X,,,X,,,,,,,,,
SMA18-5071FS4,Good Care for You and Your Baby While Receiving Opioid Use Disorder Treatment: Steps for healthy growth and development,CSAT,DPT,X,,,X,,,,,,,,,
SMA09-4413,Follow Directions:  Making Methadone Use Safe - Fact Sheet,CSAT,OCA,X,,,X,,,,,,,,,
SMA16-4956SPANISH,"SAMHSA's Wellness Initiative: Wellness Week September 11-17, 2016 (Spanish Version Poster)",CMHS,Consumer Affairs,,X,,X,,,,,,,,,
SMA10-4543,Quick Guide for Physicians Based on TIP 49: Incorporating Alcohol Pharmacotherapies Into Medical Practice,CSAT,Knowledge Application Program,X,,X,,,,,,,,,,
SMA10-4134CHINESE,Helping Yourself Heal: A Recovering Man's Guide to Coping with the Effects of Childhood Abuse-Chinese,CSAT,Knowledge Application Program,X,,,X,,,,,,,,,
SMA12-4678B3FLYER,You're in Control: Using Prescription Medicine Responsibly: Not Worth the Risk (Flyer),CSAT,OCA,X,,,X,,,,,,,,,
SMA10-4521,Good Mental Health is Ageless (Cambodian/Khmer Version),CSAT,Knowledge Application Program,,X,,X,,,,,,,,,
SMA16-4954SPANISH,SAMHSA's National Wellness Week Needs You (Spanish Version),CMHS,Consumer Affairs,,X,,X,,,,,,,,,
SMA10-4132VIETNAMESE,Helping Yourself Heal: A Recovering Woman's Guide to Coping with the Effects of Childhood Abuse Issues-Vietnamese/English,CSAT,Knowledge Application Program,X,,,X,,,,,,,,,
SYNAR-12,Fiscal Year 2011  Annual SYNAR Reports: Tobacco Sales to Youth,CSAP,n/a,X,,X,,,,,,,,,,
SMA09-4410,Follow Directions: How to Use Methadone Safely (Spanish Version),CSAT,OCA,X,,,X,,,,,,,,,
SMA10-4518,"Drugs, Alcohol and HIV/AIDS: A Consumer Guide (Korean Version)",CSAT,Knowledge Application Program,X,,,X,,,,,,,,,
SMA14-4818,"Strategies for Behavioral Health Organizations to Promote New Health Insurance Opportunities in Asian American, Native Hawaiian, and Pacific Islander Communities",OBHE,n/a,X,X,X,,,,,,,,,,
SMA11-4442CHINESE,The Facts about Buprenorphine for Treatment of Opioid Addiction (Chinese Version),CSAT,Knowledge Application Program,F,,,X,,,,,,,,,
SMA16-4954,SAMHSA's National Wellness Week Needs You,CMHS,Consumer Affairs,,X,,X,,,,,,,,,
SYNAR-13,Fiscal Year 2012 Annual SYNAR Reports: Tobacco Sales to Youth,CSAP,n/a,,,,,,,,,,,,,
SMA09-4464,Mental Health Services Provided Across State Government Agencies,CMHS,n/a,,X,X,,,,,,,,,,
SMA14-4812RUS,"Should You Talk to Someone About a Drug, Alcohol, or Mental Health Problem? (Russian)",CSAT,Knowledge Application Program,X,X,,X,,,,,,,,,
SMA09-4411,Follow Directions:  Making Methadone Use Safe Poster,CSAT,OCA,X,,,X,,,,,,,,,
SMA10-4516,"Drugs, Alcohol and HIV/AIDS: A Consumer Guide (Chinese Version)",CSAT,Knowledge Application Program,X,,,X,,,,,,,,,
SMA08-4127RUSSIAN,"Drugs, Alcohol and HIV/AIDS: A Consumer Guide (Russian Version)",CSAT,Knowledge Application Program,X,,,X,,,,,,,,,
SMA10-4519,"Drugs, Alcohol and HIV/AIDS: A Consumer Guide (Cambodian/Khmer Version)",CSAT,Knowledge Application Program,X,,,X,,,,,,,,,
SMA14-4814CHIN,The Next Step Toward a Better Life Based on TIP 45 (Chinese),CSAT,Knowledge Application Program,X,,,X,,,,,,,,,
PEP13-CMHI2011CD,"The Comprehensive Community Mental Health Services for Children and Their Families Program, Evaluation Findings-Annual Report to Congress 2011 (CD Version)",CMHS,n/a,,X,X,,,,,,,,,,
SMA10-4517,"Drugs, Alcohol and HIV/AIDS: A Consumer Guide (Vietnamese Version)",CSAT,Knowledge Application Program,X,,,X,,,,,,,,,
SMA14-4811CHIN,"Should You Talk to Someone About a Drug, Alcohol, or Mental Health Problem? (Chinese)",CSAT,Knowledge Application Program,X,X,,X,,,,,,,,,
SMA12-4181,"Drugs, Alcohol and HIV/AIDS: A Consumer Guide (Spanish Version)",CSAT,Knowledge Application Program,X,,,X,,,,,,,,,
SMA14-4810VIET,"Should You Talk to Someone About a Drug, Alcohol, or Mental Health Problem? (Vietnamese)",CSAT,Knowledge Application Program,X,,,X,,,,,,,,,
SMA18-5069YCQ,You Can Quit Tobacco Benefits and Tips for Quitting for Good,CSAT,DPT,X,,,X,,,,,,,,,
SMA10-4132CHINESE,Helping Yourself Heal: A Recovering Woman's Guide to Coping with the Effects of Childhood Abuse-Chinese,CSAT,Knowledge Application Program,X,,,X,,,,,,,,,
SMA10-4557,Substance Abuse Specialists in Child Welfare Agencies and Dependency Courts: Considerations for Program Designers and Evaluators,CSAT,DSI,X,,X,,,,,,,,,,
SMA11-4654,Supported Education Evidence-Based Practices (EBP) KIT,CMHS,EBP Kits,,X,X,,,,,,,,,,
SYNAR-11,Fiscal Year 2010 Annual SYNAR Reports: Tobacco Sales to Youth,CSAP,n/a,X,X,,,,,,,,,,,
SMA15-4895EQ,"Behavioral Health Equity Barometer, 2014",CBHSQ,n/a,X,X,X,,,,,,,,,,
PEP17-NPWCALENDAR,Talking With Your College-Bound Young Adult About Alcohol: The Sound of Your Voice: Parent Guide,CSAP,n/a,X,,,X,,,,,,,,,
PEP12-CMHI0608SUM,Comprehensive Community Mental Health Services for Children and Their Families Program Evaluation Findings: Executive Summary Report to Congress 2006-2008,CMHS,n/a,,X,X,,,,,,,,,,
SMA09-4414,Follow Directions: How to Use Methadone Safely (Spanish version),CSAT,OCA,,,,,,,,,,,,,
SMA09-4462,Illness Management and Recovery Evidence-Based Practices (EBP) KIT,CMHS,EBP Kits,,X,X,,,,,,,,,,
SMA14-4894,"Taking Care of Your Behavioral Health: Tips for Social Distancing, Quarantine, and Isolation During an Infectious Disease Outbreak",CMHS,n/a,,X,,X,,,,,,,,,
SMA12-4711DVD,Stories Of Hope And Recovery: A Video Guide for Suicide Attempt Survivors,CMHS,Suicide Prevention,,X,,X,,,,,,,,,
VA10-TIP50,TIP 50: Addressing Suicidal Thoughts & Behaviors in Substance Abuse Treatment DVD,CSAT,Knowledge Application Program,X,X,X,,,,,,,,,,
