"Govt Pub Number",Title,Format,"Office or Center",Program/Campaign,"Publication Date","Item Owner","Available Qty","Allocated Qty","On Hand Qty","Max Order Qty","Published Status","Stock Status","Display Mode",Pallets,"Location of Product"
PEP20-03-03-001,"Tips for Teens: The Truth About Hallucinogens","Fact Sheet",CSAP,,"03/20/2020 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-03-03-002,"Tips for Teens: The Truth About HIV","Fact Sheet",CSAP,,"03/20/2020 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-03-03-003,"Tips for Teens: The Truth About Sedatives","Fact Sheet",CSAP,,"03/20/2020 - 08:00","David Wilson",81381,100,81481,500,Published,"IN STOCK",External,0.5,"C-32A, Pick Area"
PEP20-03-03-004,"Tips for Teens: The Truth About Stimulants","Fact Sheet",CSAP,,"03/20/2020 - 08:00",,76452,100,76552,500,Published,"IN STOCK",External,0.5,"A-7A, Pick Area"
PEP20-03-03-005,"Consejos para adolescentes: la realidad sobre la cocaína (Tips for Teens: The Truth About Cocaine)","Fact Sheet",CSAP,"Tips for Teens","05/13/2020 - 08:00",,0,0,0,500,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-03-03-006,"Consejos para adolescentes: la realidad sobre los cigarrillos electrónicos (Tips for Teens: The Truth About E-cigarettes)","Fact Sheet",CSAP,"Tips for Teens","05/13/2020 - 08:00",,0,0,0,500,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-03-03-007,"Consejos para adolescentes: la realidad sobre los alucinógenos (Tips for Teens: The Truth About Hallucinogens)","Fact Sheet",CSAP,"Tips for Teens","05/13/2020 - 08:00",,0,0,0,500,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-03-03-008,"Tips for Teens: The Truth About Heroin (Spanish Language Version) - Consejos para adolescentes: la realidad sobre la heroína","Fact Sheet",CSAP,"Tips for Teens","05/13/2020 - 08:00",,0,0,0,500,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-03-03-009,"Tips for Teens: The Truth About HIV (Spanish Language Version) - Consejos para adolescentes: la realidad sobre el VIH","Fact Sheet",CSAP,,"05/13/2020 - 08:00",,0,0,0,500,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-03-03-010,"Tips for Teens: The Truth About Inhalants (Spanish Language Version) - Consejos para adolescentes: la realidad sobre los inhalantes","Fact Sheet",CSAP,"Tips for Teens","05/13/2020 - 08:00",,0,0,0,500,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-03-03-011,"Tips for Teens: The Truth About Marijuana (Spanish Language Version) - Consejos para adolescentes: la realidad sobre la marihuana","Fact Sheet",CSAP,"Tips for Teens","05/13/2020 - 08:00","David Lamont Wilson",0,0,0,500,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-03-03-012,"Tips for Teens: The Truth About Methamphetamine (Spanish Language Version) - Consejos para adolescentes: la realidad sobre la metanfetamina","Fact Sheet",CSAP,"Tips for Teens","05/13/2020 - 08:00","David Lamont Wilson",0,0,0,500,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-03-03-013,"Tips for Teens: The Truth About Opioids (Spanish Language Version) - Consejos para adolescentes: la realidad sobre los opioides","Fact Sheet",CSAP,"Tips for Teens","05/13/2020 - 08:00","David Lamont Wilson",0,0,0,500,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-03-03-014,"Tips for Teens: The Truth About Sedatives (Spanish Language Version) - Consejos para adolescentes: la realidad sobre los sedantes","Fact Sheet",CSAP,"Tips for Teens","05/13/2020 - 08:00","David Lamont Wilson",0,0,0,500,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-03-03-015,"Consejos para adolescentes: la realidad sobre los esteroides - Tips for Teens: The Truth About Steroids","Fact Sheet",CSAP,"Tips for Teens","05/13/2020 - 08:00","David Lamont Wilson",0,0,0,500,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-03-03-016,"Consejos para adolescentes: la realidad sobre los estimulantes - Tips for Teens: The Truth About Stimulants","Fact Sheet",CSAP,"Tips for Teens","05/13/2020 - 08:00","David Lamont Wilson",0,0,0,500,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-03-03-017,"Consejos para adolescentes: la realidad sobre el tabaco - Tips for Teens: The Truth About Tobacco","Fact Sheet",CSAP,"Tips for Teens","05/13/2020 - 08:00","David Lamont Wilson",0,0,0,500,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-03-04-001,"Minority AIDS Initiative - Making Difference with Homeless Populations",Report,CSAP,"Minority AIDS Initiative","05/15/2020 - 08:00","Thomas Clarke",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-04-002,"Minority AIDS Initiative - Reductions in HIV Risk Factors Among Men Who Have Sex With Men",Report,CSAP,"Minority AIDS Initiative","05/15/2020 - 08:00","Thomas Clarke",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-04-003,"Minority AIDS Initiative - Attitude and Behavior Change Among Program Participants Ages 18-24",Report,CSAP,"Minority AIDS Initiative","05/15/2020 - 08:00","Thomas Clarke",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-04-004,"Minority AIDS Initiative - Program Overview and Evaluation Results",Report,CSAP,"Minority AIDS Initiative","05/20/2020 - 08:00","Thomas Clarke",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-05-001,"Partnerships for Success – Program Evaluation for Prevention: Prevention Workforce Development and Its Relationship with Intervention Implementation and Community Outcomes",Report,CSAP,,"04/29/2020 - 08:00",,0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-05-002,"Partnerships for Success – Prevention Workforce Development: Findings and Recommendations",Report,CSAP,,"04/29/2020 - 08:00",,0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-05-003,"Partnerships for Success – Program Evaluation for Prevention Funding, Cost, and Cost-Effectiveness of Community Prevention Interventions to Address Prescription Drug Misuse and Underage Drinking",Report,,,"04/29/2020 - 08:00",,0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-05-004,"Partnerships for Success – Why Do Some Community Subrecipients Take Longer Than Others to Implement Interventions?",Report,CSAP,,"04/29/2020 - 08:00",,0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-05-005,"Partnerships for Success - Behavioral Disparities",Report,CSAP,"Partnerships for Success","05/14/2020 - 08:00","Thomas Clarke",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-06-001,"Sober Truth on Preventing Underage Drinking Act (STOP Act) Evaluation Report FY2009-FY2013",Report,CSAP,"STOP Act","05/19/2020 - 08:00","Thomas Clarke",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-07-001,"State Incentive Grant Program - Outcomes Evaluation",Report,CSAP,"State Incentive Grant","05/20/2020 - 08:00","Thomas Clarke",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-08-001,"Prevention Core Competencies","Training Manual",CSAP,"Knowledge Application","05/20/2020 - 08:00","Nelia Nadal",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-08-002,"Substance Use Prevention Dollars and Cents: A Cost Benefit Analysis (2nd Edition)",Report,CSAP,"Knowledge Application","05/21/2020 - 08:00","Nelia Nadal",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-10-001,"College Drinking: Prevention Perspectives ""Lessons Learned at Frostburg State University"" Discussion Guide","Guidelines or Manual",CSAP,"Underage Drinking Prevention Education Initiatives","12/09/2020 - 07:00","Marion Pierce",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-10-002,"College Drinking: Prevention Perspectives ""Embracing Culture and Context to Prevent Underage Drinking"" Discussion Guide","Guidelines or Manual",CSAP,"Underage Drinking Prevention Education Initiatives","12/09/2020 - 07:00","Marion Pierce",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-03-10-003,"College Drinking: Prevention Perspectives ""Embracing Culture and Context to Prevent Underage Drinking""",Video,CSAP,"Underage Drinking Prevention Education Initiatives","12/09/2020 - 07:00","Marion Pierce",0,0,0,,"Not Published","OUT OF STOCK",None,0,
PEP20-05-01-001,"After Incarceration: A Guide To Helping Women Reenter the Community","Guidelines or Manual",,,"04/27/2020 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-05-02-001,"The Opioid Crisis and the Black/African American Population: An Urgent Issue",Report,,OBHE,"04/01/2020 - 08:00","Larke Huang/Victoria Chau",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-05-02-002,"The Opioid Crisis and the Hispanic/Latino Population: An Urgent Issue",Report,,OBHE,"07/31/2020 - 08:00","Victoria Chau",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-05-02-003,"The Opioid Crisis and the Hispanic/Latino Population:  An Urgent Issue (Spanish version)",Report,,OBHE,"10/15/2020 - 08:00","Victoria Chau",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-06-01-001,"Treatment of Stimulant Use Disorder","Guidelines or Manual",NMHSUPL,"Substance Misuse, Intervention, and Prevention","06/16/2020 - 08:00","Donelle Johnson",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-06-01-002,"Treatment for Suicidal Ideation, Self-harm, and Suicide Attempts Among Youth","Guidelines or Manual",NMHSUPL,"Substance Misuse, Intervention, and Prevention","12/10/2020 - 07:00","Donelle Johnson",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-06-01-003,"Reducing Vaping Among Youth and Young Adults","Guidelines or Manual",CSAP,"Substance Misuse, Intervention, and Prevention","07/01/2020 - 08:00","Donelle Johnson",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-06-02-001,"Treatment for Youth and Young Adults with Mood Disorders and other Serious Emotional Disturbances and Co-occurring Substance Use","Guidelines or Manual",NMHSUPL,"SMI and Co-Occurring Substance Disorder","05/27/2020 - 08:00","Donelle Johnson",0,0,0,,"Not Published","ELECTRONIC ONLY","Download Only",0,
PEP20-06-03-001,"Prevention and Treatment of HIV Among People Living with Substance Use and Mental Disorders","Guidelines or Manual",NMHSUPL,HIV,"11/02/2020 - 07:00","Donelle Johnson",0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-06-04-004,"Advisory: Screening and Treatment of Viral Hepatitis in People with Substance Use Disorders",Advisory,NMHSUPL,KAP/TIP,"01/19/2021 - 07:00","Donelle Johnson",0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-06-04-005,"Advisory: Addressing Suicidal Thoughts and Behaviors in Substance Use Treatment",Advisory,NMHSUPL,,"01/14/2021 - 07:00",,0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-06-04-007,"Advisory: Treating Substance Use Disorders Among People with HIV",Advisory,NMHSUPL,,"01/14/2021 - 07:00",,0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-06-04-008,"Advisory: Screening and Treatment of Substance Use Disorders among Adolescents",Advisory,NMHSUPL,KAP/TIP,"01/19/2021 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP20-07-01-001,"Key Substance Use and Mental Health Indicators in the United States: Results from the 2019 National Survey on Drug Use and Health","Series Report",CBHSQ,,"09/15/2020 - 08:00","Elizabeth Lopez",103,0,103,,Published,"ELECTRONIC ONLY","Download Only",0,"Pick Area"
PEP20-08-01-001,"Crisis Services Meeting Needs, Saving Lives","Guidelines or Manual",OAS,,"12/08/2020 - 07:00",TBD,0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PEP21-PL-Guide-5,"Use of Medication-Assisted Treatment in Emergency Departments","Guidelines or Manual",NMHSUPL,"Opioid Use Disorder","01/28/2021 - 07:00","Donelle Johnson",0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP21-PL-Guide-5,"Use of Medication-Assisted Treatment in Emergency Departments","Resource Guide",NMHSUPL,"Opioid Use Disorder","01/28/2021 - 07:00","Donelle Johnson",0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
PEP21-PL-Guide-6,"Substance Use Disorders Recovery with a Focus on Employment","Guidelines or Manual",,,"02/03/2021 - 07:00",,0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
PHD633,"Tips for Teens: The Truth About Tobacco",,,,"06/01/2007 - 08:00",,0,0,0,0,"Not Published","OUT OF STOCK",External,0,
PHD641,"Tips for Teens: The Truth About Marijuana",,,,"11/01/2014 - 08:00",,0,0,0,0,"Not Published","OUT OF STOCK",External,0,
QGCT44,"Substance Abuse Treatment for Adults in the Criminal Justice System","Guidelines or Manual",,,"04/01/2006 - 07:00",,0,0,0,50,Published,"ELECTRONIC ONLY","Download Only",0,
SAMHSA-ENVELOPE,"SAMHSA Envelopes",,,,"04/30/2020 - 08:00",,0,0,0,,"Not Published","OUT OF STOCK",Internal,0,
SAMHSA-FOLDER2,"SAMHSA Folder: Behavioral Health, Prevention Works, Treatment is Effective, People Recover",,,,"03/01/2011 - 07:00",,0,0,0,0,"Not Published","OUT OF STOCK",Internal,0,
SGCTA-07,"Surgeon General's Call to Action to Prevent and Reduce Underage Drinking",,,,"04/01/2007 - 08:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
SGCTA-COM-07,"Surgeon General's Call to Action to Prevent and Reduce Underage Drinking: A Guide to Action for Communities",,,,"05/01/2007 - 08:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
SGCTA-ED-07,"Surgeon General's Call to Action to Prevent and Reduce Underage Drinking: A Guide to Action for Educators",,,,"05/01/2007 - 08:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
SGCTA-FAM-07,"Surgeon General's Call to Action to Prevent and Reduce Underage Drinking: A Guide to Action for Families",,,,"05/01/2007 - 08:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
SGFLYER-07,"Surgeon General's Call to Action Flyer - Prevent and Reduce Underage Drinking",,,,"10/01/2007 - 08:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA-15-4755–AnnualReport,"2015 ""Talk. They Hear You."" Annual Report",,,,"06/17/2019 - 08:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA02-3641,"Risk Communication Guidelines for Public Officials",,,,"01/01/2002 - 07:00",,0,0,0,1080,"Not Published","OUT OF STOCK",External,0,
SMA02-3713,"Mental Health and Substance Abuse Services in Medicaid, 1995",,,,"01/01/2002 - 07:00",,0,0,0,1,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA03-3824,"Get Connected: Linking Older Adults with Resources on Medication, Alcohol, and Mental Health--2019 Edition",Kit,,,"05/01/2017 - 08:00",,2107,5,2112,100,Published,"IN STOCK",External,0.5,"A-50A, Pick Area"
SMA03-3828,"Developing Cultural Competence in Disaster Mental Health Programs","Guidelines or Manual",,,"01/01/2003 - 07:00",,0,0,0,50,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA03-3829,"Mental Health All-Hazards Disaster Planning Guidance","Guidelines or Manual",,,"01/01/2003 - 07:00",,6973,1,6974,1,Published,"IN STOCK",External,3,"C-29A, C-36B, D-11B, Pick Area"
SMA04-3959,"Mental Health Response to Mass Violence and Terrorism: A Training Manual","Guidelines or Manual",,,"01/01/2004 - 07:00",,0,0,0,10,Published,"ELECTRONIC ONLY","Download Only",0,
SMA05-4025,"Mental Health Response to Mass Violence and Terrorism: A Field Guide","Field Manual",,,"01/01/2005 - 07:00",,0,0,0,10,Published,"ELECTRONIC ONLY","Download Only",0,
SMA05-4060,"Transforming Mental Health Care in America",,,,"01/01/2005 - 07:00",,0,0,0,50,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA05-4113,"A Guide to Managing Stress in Crisis Response Professions 2","Guidelines or Manual",,,"04/01/2005 - 07:00",,0,0,0,100,Published,"ELECTRONIC ONLY","Download Only",0,
SMA07-4188,"Anger Management for Substance Abuse & Mental Health Clients (Spanish version)",,,,"04/01/2007 - 08:00",,0,0,0,50,"Not Published","OUT OF STOCK",External,0,"Pick Area"
SMA07-4230,"Making Your Workplace Drug-Free",,,,"01/01/2007 - 07:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA07-4250,"Mental Health Consumers and Representatives of the Disaster Response Community in Dialogue",Report,,,"01/01/2007 - 07:00",,2129,0,2129,25,Published,"IN STOCK",External,0,"Pick Area"
SMA07-4298,"Substance Abuse Prevention Dollars and Cents",Report,,,"05/01/2009 - 08:00",,0,0,0,10,Published,"ELECTRONIC ONLY","Download Only",0,
SMA08-3920,"TIP 30: Continuity of Offender Treatment for Substance Use Disorders from Institution to Community","Guidelines or Manual",,,"01/01/2008 - 07:00",,0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
SMA08-4075,"TIP 24: A Guide to Substance Abuse Services for Primary Care Clinicians","Guidelines or Manual",CSAT,,"01/01/2008 - 07:00",,0,0,0,,Published,"ELECTRONIC ONLY","Download Only",0,
SMA08-4127RUSSIAN,"Drugs, Alcohol and HIV/AIDS: A Consumer Guide (Russian Version)",Brochure,,,"03/01/2013 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA08-4138,"OxyContin Prescription Drug Abuse--2008 Revision",Advisory,,,"08/01/2008 - 08:00",,0,0,0,25,Published,"ELECTRONIC ONLY","Download Only",0,
SMA08-4189,"Anger Management for Substance Abuse and Mental Health Clients Participant Workbook (Spanish Version)",,,,"04/01/2008 - 08:00",,12574,0,12574,25,"Not Published","IN STOCK",External,1.5,"A-2A, C-34A, C-34B, Pick Area"
SMA08-4321,"15+ Make Time To Listen, Take Time To Talk...About Bullying: Conversation Starter Cards","Activity or Coloring Book",,,"08/01/2008 - 08:00",,0,0,0,5,Published,"ELECTRONIC ONLY","Download Only",0,
SMA08-4324,"Reimbursement of Mental Health Services in Primary Care Settings",Report,,,"08/01/2008 - 08:00",,0,0,0,100,Published,"ELECTRONIC ONLY","Download Only",0,
SMA08-4337,"Self-Disclosure and Its Impact on Individuals Who Receive Mental Health Services",Monograph,,,"09/01/2008 - 08:00",,0,0,0,100,Published,"ELECTRONIC ONLY","Download Only",0,
SMA08-4344,"Assertive Community Treatment (ACT) Evidence-Based Practices (EBP) KIT",Kit,,,"10/01/2008 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA08-4345,"Assertive Community Treatment (ACT) Evidence-Based Practices (EBP) KIT",,,,"10/01/2008 - 08:00",,0,0,0,25,"Not Published","OUT OF STOCK",External,0,
SMA08-4354,"American Indian and Alaska Native Culture Card","Guidelines or Manual",,,"03/01/2009 - 07:00",,0,0,0,1200,Published,"OUT OF STOCK",External,0.5,"D-44A, Pick Area"
SMA08-4364,"Supported Employment Evidence-Based Practices (EBP) KIT",Kit,,,"02/01/2010 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA08-4365,"Supported Employment Evidence-Based Practices (EBP) KIT",,,,"02/01/2010 - 07:00",,0,0,0,1,"Not Published","OUT OF STOCK",External,0,
SMA08-4366,"Integrated Treatment for Co-Occurring Disorders Evidence-Based Practices (EBP) KIT",Kit,,,"01/01/2010 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA08-4367,"Integrated Treatment for Co-Occurring Disorders Evidence-Based Practices (EBP) KIT",,,,"01/01/2010 - 07:00",,0,0,0,25,"Not Published","OUT OF STOCK",External,0,
SMA09-4371,"Shared Decision-Making in Mental Health Care",Report,,,"09/01/2011 - 08:00",,0,0,0,100,Published,"ELECTRONIC ONLY","Download Only",0,
SMA09-4373,"Crisis Counseling Assistance and Training Program (CCP)",Brochure,,,"04/01/2009 - 08:00",,15915,0,15915,1,Published,"IN STOCK",External,2.01,"C-17B, C-17B, Pick Area, Pick Area"
SMA09-4373SPANISH,"Crisis Counseling Assistance and Training Program (CCP) (Spanish Version)",Brochure,,,"08/01/2014 - 08:00",,14414,30,14444,25,Published,"IN STOCK",External,0.51,"D-31B, Pick Area, Pick Area"
SMA09-4375,"A Guide for Funeral Directors: Supporting Survivors of Suicide Loss",Brochure,,,"07/01/2009 - 08:00",,0,0,0,5,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA09-4409,"Follow Directions: How to Use Methadone Safely",Brochure,,,"04/01/2009 - 08:00",,0,0,0,10,Published,"ELECTRONIC ONLY","Download Only",0,
SMA09-4410,"Follow Directions: How to Use Methadone Safely (Spanish Version)",Brochure,,,"04/01/2009 - 08:00",,0,0,0,10,Published,"ELECTRONIC ONLY","Download Only",0,
SMA09-4411,"Follow Directions: How to Use Methadone Safely",Poster,,,"04/01/2009 - 08:00",,0,0,0,10,Published,"ELECTRONIC ONLY","Download Only",0,
SMA09-4413,"Follow Directions: How to Use Methadone Safely","Fact Sheet",,,"04/01/2009 - 08:00",,0,0,0,5,Published,"ELECTRONIC ONLY","Download Only",0,
SMA09-4414,"Follow Directions: How to Use Methadone Safely (Spanish version)","Fact Sheet",,,"04/01/2009 - 08:00",,0,0,0,5,Published,"ELECTRONIC ONLY","Download Only",0,
SMA09-4422,"Family Psychoeducation Evidence-Based Practices (EBP) KIT",Kit,,,"03/01/2010 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA09-4423,"Family Psychoeducation Evidence-Based Practices (EBP) KIT",,,,"03/01/2010 - 07:00",,0,0,0,1,"Not Published","OUT OF STOCK",External,0,
SMA09-4427,"Core Elements for Responding to Mental Health Crises","Guidelines or Manual",,,"09/01/2009 - 08:00",,0,0,0,50,Published,"ELECTRONIC ONLY","Download Only",0,
SMA09-4432,"SAFE-T Pocket Card: Suicide Assessment Five-Step Evaluation and Triage for Clinicians","Guidelines or Manual",,,"09/01/2009 - 08:00",,44990,215,45205,10,Published,"IN STOCK",External,0.51,"A-13A, Pick Area, Pick Area"
SMA09-4454,"What Are Peer Recovery Support Services?","Guidelines or Manual",,,"10/01/2009 - 08:00",,0,0,0,100,Published,"ELECTRONIC ONLY","Download Only",0,
SMA09-4462,"Illness Management and Recovery Evidence-Based Practices (EBP) KIT",Kit,,,"03/01/2010 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA09-4463,"Illness Management and Recovery Evidence-Based Practices (EBP) KIT",,,,"03/01/2010 - 07:00",,0,0,0,1,"Not Published","OUT OF STOCK",External,0,
SMA09-4464,"Mental Health Services Provided Across State Government Agencies",Report,,,"10/01/2009 - 08:00",,0,0,0,100,Published,"ELECTRONIC ONLY","Download Only",0,
SMA1-123,"test product - archana",,,,"02/12/2019 - 07:00",,0,0,0,0,"Not Published","ELECTRONIC ONLY","Download Only",0,
SMA10-4120,"Focus on Prevention","Guidelines or Manual",,,"03/01/2017 - 07:00",,3454,12,3466,50,Published,"IN STOCK",External,1.01,"A-20A, D-10A, Pick Area, Pick Area"
SMA10-4132CHINESE,"Helping Yourself Heal: A Recovering Woman's Guide to Coping with the Effects of Childhood Abuse (Chinese version)",Brochure,,,"03/01/2013 - 07:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA10-4132KHMER,"Helping Yourself Heal: A Recovering Woman's Guide to Coping with the Effects of Childhood Abuse Issues (Khmer/Cambodian version)",Brochure,,,"03/01/2013 - 07:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA10-4132VIETNAMESE,"Helping Yourself Heal: A Recovering Woman's Guide to Coping with the Effects of Childhood Abuse Issues (Vietnamese version)",Brochure,,,"03/01/2013 - 07:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA10-4134CHINESE,"Helping Yourself Heal: A Recovering Man's Guide to Coping with the Effects of Childhood Abuse (Chinese version)",Brochure,,,"03/01/2013 - 07:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA10-4480,"To Live To See the Great Day That Dawns: Preventing Suicide by American Indian and Alaska Native Youth and Young Adults","Guidelines or Manual",,,"04/01/2010 - 08:00",,9516,10,9526,10,Published,"IN STOCK",External,7.5,"A-13B, A-14A, A-14B, A-15A, A-15B, A-16A, A-16B, A-8B, Pick Area"
SMA10-4509,"Permanent Supportive Housing Evidence-Based Practices (EBP KIT)",Kit,,,"07/01/2010 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA10-4510,"Permanent Supportive Housing Evidence-Based Practices (EBP KIT)",,,,"07/01/2010 - 08:00",,0,0,0,25,"Not Published","OUT OF STOCK",External,0,
SMA10-4515,"Promoting Emotional Health and Preventing Suicide",Kit,,,"06/01/2010 - 08:00",,0,0,0,24,Published,"ELECTRONIC ONLY","Download Only",0,
SMA10-4516,"Drugs, Alcohol and HIV/AIDS: A Consumer Guide (Chinese Version)",Brochure,,,"04/01/2010 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA10-4517,"Drugs, Alcohol and HIV/AIDS: A Consumer Guide (Vietnamese Version)",Brochure,,,"04/01/2010 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA10-4518,"Drugs, Alcohol and HIV/AIDS: A Consumer Guide (Korean Version)",Brochure,,,"04/01/2010 - 08:00",,0,0,0,1,Published,"ELECTRONIC ONLY","Download Only",0,
SMA10-4519,"Drugs, Alcohol and HIV/AIDS: A Consumer Guide (Cambodian/Khmer Version)",Brochure,,,"04/01/2010 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA10-4521,"Good Mental Health is Ageless (Cambodian/Khmer Version)",Brochure,,,"04/01/2010 - 08:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA10-4529,"Underage Drinking Prevention Multicultural Campaign TV PSA Kit- BETA",,,,"03/01/2010 - 07:00",,0,0,0,5,"Not Published","OUT OF STOCK",None,0,
SMA10-4529CD,"Underage Drinking Prevention Multicultural Campaign TV PSA Kit- CD",,,,"03/01/2010 - 07:00",,0,0,0,0,"Not Published","OUT OF STOCK",None,0,
SMA10-4531,"Substance Abuse Treatment for Persons With Co-Occurring Disorders","Guidelines or Manual",,,"06/01/2010 - 08:00",,0,0,0,25,Published,"OUT OF STOCK",External,0,"Pick Area"
SMA10-4542,"Incorporating Alcohol Pharmacotherapies Into Medical Practice","Guidelines or Manual",,,"05/01/2010 - 08:00",,0,0,0,5,Published,"ELECTRONIC ONLY","Download Only",0,
SMA10-4543,"Incorporating Alcohol Pharmacotherapies Into Medical Practice","Guidelines or Manual",,,"05/01/2010 - 08:00",,0,0,0,5,Published,"ELECTRONIC ONLY","Download Only",0,
SMA10-4544,"Incorporating Alcohol Pharmacotherapies Into Medical Practice","Guidelines or Manual",,,"06/01/2010 - 08:00",,80,0,80,5,Published,"ELECTRONIC ONLY","Download Only",0,"Pick Area"
SMA10-4548,"MedTEAM (Medication Treatment, Evaluation, and Management) Evidence-Based Practices (EBP) KIT",Kit,,,"02/01/2011 - 07:00",,0,0,0,0,Published,"ELECTRONIC ONLY","Download Only",0,
SMA10-4549,"MedTEAM (Medication Treatment, Evaluation, and Management) Evidence-Based Practices (EBP) KIT",,,,"02/01/2011 - 07:00",,0,0,0,25,"Not Published","OUT OF STOCK",External,0,
SMA10-4554,"Protracted Withdrawal",Advisory,,,"07/01/2010 - 08:00",,0,0,0,10,Published,"ELECTRONIC ONLY","Download Only",0,
